"YEAR"	"MONTH"	"DAY"	"HOUR"	"MIN"	"SEC"	"FIELDNAME"	"VALUE"
2015	12	26	0	0	0	"/1566900619849/LTER_AT/LTER_EU_AT_003/ATZOEAM0939_TEMPMEAN/AM/1/raw"	7.31
2015	12	27	0	0	0	"/1566900619849/LTER_AT/LTER_EU_AT_003/ATZOEAM0939_TEMPMEAN/AM/1/raw"	7.51
2015	12	28	0	0	0	"/1566900619849/LTER_AT/LTER_EU_AT_003/ATZOEAM0939_TEMPMEAN/AM/1/raw"	6.28
2015	12	29	0	0	0	"/1566900619849/LTER_AT/LTER_EU_AT_003/ATZOEAM0939_TEMPMEAN/AM/1/raw"	1.52
2015	12	30	0	0	0	"/1566900619849/LTER_AT/LTER_EU_AT_003/ATZOEAM0939_TEMPMEAN/AM/1/raw"	-0.06
2016	1	1	0	0	0	"/1566900619849/LTER_AT/LTER_EU_AT_003/ATZOEAM0939_TEMPMEAN/AM/1/raw"	0.84
2016	1	2	0	0	0	"/1566900619849/LTER_AT/LTER_EU_AT_003/ATZOEAM0939_TEMPMEAN/AM/1/raw"	-2.94
2016	1	3	0	0	0	"/1566900619849/LTER_AT/LTER_EU_AT_003/ATZOEAM0939_TEMPMEAN/AM/1/raw"	-5.37
2016	1	4	0	0	0	"/1566900619849/LTER_AT/LTER_EU_AT_003/ATZOEAM0939_TEMPMEAN/AM/1/raw"	-1.21
2016	1	5	0	0	0	"/1566900619849/LTER_AT/LTER_EU_AT_003/ATZOEAM0939_TEMPMEAN/AM/1/raw"	0.01
2016	1	6	0	0	0	"/1566900619849/LTER_AT/LTER_EU_AT_003/ATZOEAM0939_TEMPMEAN/AM/1/raw"	0.07
2016	1	7	0	0	0	"/1566900619849/LTER_AT/LTER_EU_AT_003/ATZOEAM0939_TEMPMEAN/AM/1/raw"	0.19
2016	1	8	0	0	0	"/1566900619849/LTER_AT/LTER_EU_AT_003/ATZOEAM0939_TEMPMEAN/AM/1/raw"	2.68
2016	1	9	0	0	0	"/1566900619849/LTER_AT/LTER_EU_AT_003/ATZOEAM0939_TEMPMEAN/AM/1/raw"	3.4
2016	1	10	0	0	0	"/1566900619849/LTER_AT/LTER_EU_AT_003/ATZOEAM0939_TEMPMEAN/AM/1/raw"	3.26
2016	1	11	0	0	0	"/1566900619849/LTER_AT/LTER_EU_AT_003/ATZOEAM0939_TEMPMEAN/AM/1/raw"	2.26
2016	1	12	0	0	0	"/1566900619849/LTER_AT/LTER_EU_AT_003/ATZOEAM0939_TEMPMEAN/AM/1/raw"	1.76
2016	1	13	0	0	0	"/1566900619849/LTER_AT/LTER_EU_AT_003/ATZOEAM0939_TEMPMEAN/AM/1/raw"	0.43
2016	1	14	0	0	0	"/1566900619849/LTER_AT/LTER_EU_AT_003/ATZOEAM0939_TEMPMEAN/AM/1/raw"	-0.84
2016	1	15	0	0	0	"/1566900619849/LTER_AT/LTER_EU_AT_003/ATZOEAM0939_TEMPMEAN/AM/1/raw"	-1.64
2016	1	16	0	0	0	"/1566900619849/LTER_AT/LTER_EU_AT_003/ATZOEAM0939_TEMPMEAN/AM/1/raw"	-4.45
2016	1	18	0	0	0	"/1566900619849/LTER_AT/LTER_EU_AT_003/ATZOEAM0939_TEMPMEAN/AM/1/raw"	-7.88
2016	1	19	0	0	0	"/1566900619849/LTER_AT/LTER_EU_AT_003/ATZOEAM0939_TEMPMEAN/AM/1/raw"	-8.6
2016	1	21	0	0	0	"/1566900619849/LTER_AT/LTER_EU_AT_003/ATZOEAM0939_TEMPMEAN/AM/1/raw"	-5.91
2016	1	22	0	0	0	"/1566900619849/LTER_AT/LTER_EU_AT_003/ATZOEAM0939_TEMPMEAN/AM/1/raw"	-8.55
2016	1	23	0	0	0	"/1566900619849/LTER_AT/LTER_EU_AT_003/ATZOEAM0939_TEMPMEAN/AM/1/raw"	-1.34
2016	1	24	0	0	0	"/1566900619849/LTER_AT/LTER_EU_AT_003/ATZOEAM0939_TEMPMEAN/AM/1/raw"	1.03
2016	1	25	0	0	0	"/1566900619849/LTER_AT/LTER_EU_AT_003/ATZOEAM0939_TEMPMEAN/AM/1/raw"	3.79
2016	1	26	0	0	0	"/1566900619849/LTER_AT/LTER_EU_AT_003/ATZOEAM0939_TEMPMEAN/AM/1/raw"	6.83
2016	1	27	0	0	0	"/1566900619849/LTER_AT/LTER_EU_AT_003/ATZOEAM0939_TEMPMEAN/AM/1/raw"	8.88
2016	1	28	0	0	0	"/1566900619849/LTER_AT/LTER_EU_AT_003/ATZOEAM0939_TEMPMEAN/AM/1/raw"	9.2
2016	1	29	0	0	0	"/1566900619849/LTER_AT/LTER_EU_AT_003/ATZOEAM0939_TEMPMEAN/AM/1/raw"	4.31
2016	1	30	0	0	0	"/1566900619849/LTER_AT/LTER_EU_AT_003/ATZOEAM0939_TEMPMEAN/AM/1/raw"	4.4
2016	2	1	0	0	0	"/1566900619849/LTER_AT/LTER_EU_AT_003/ATZOEAM0939_TEMPMEAN/AM/1/raw"	7.73
2016	2	3	0	0	0	"/1566900619849/LTER_AT/LTER_EU_AT_003/ATZOEAM0939_TEMPMEAN/AM/1/raw"	2.53
2016	2	4	0	0	0	"/1566900619849/LTER_AT/LTER_EU_AT_003/ATZOEAM0939_TEMPMEAN/AM/1/raw"	-1.53
2016	2	5	0	0	0	"/1566900619849/LTER_AT/LTER_EU_AT_003/ATZOEAM0939_TEMPMEAN/AM/1/raw"	-0.7
2016	2	6	0	0	0	"/1566900619849/LTER_AT/LTER_EU_AT_003/ATZOEAM0939_TEMPMEAN/AM/1/raw"	3.14
2016	2	7	0	0	0	"/1566900619849/LTER_AT/LTER_EU_AT_003/ATZOEAM0939_TEMPMEAN/AM/1/raw"	7.7
2016	2	8	0	0	0	"/1566900619849/LTER_AT/LTER_EU_AT_003/ATZOEAM0939_TEMPMEAN/AM/1/raw"	5.15
2016	2	9	0	0	0	"/1566900619849/LTER_AT/LTER_EU_AT_003/ATZOEAM0939_TEMPMEAN/AM/1/raw"	6.43
2016	2	10	0	0	0	"/1566900619849/LTER_AT/LTER_EU_AT_003/ATZOEAM0939_TEMPMEAN/AM/1/raw"	-0.73
2016	2	11	0	0	0	"/1566900619849/LTER_AT/LTER_EU_AT_003/ATZOEAM0939_TEMPMEAN/AM/1/raw"	-1.87
2016	2	12	0	0	0	"/1566900619849/LTER_AT/LTER_EU_AT_003/ATZOEAM0939_TEMPMEAN/AM/1/raw"	-2.26
2016	2	13	0	0	0	"/1566900619849/LTER_AT/LTER_EU_AT_003/ATZOEAM0939_TEMPMEAN/AM/1/raw"	0.29
2016	2	14	0	0	0	"/1566900619849/LTER_AT/LTER_EU_AT_003/ATZOEAM0939_TEMPMEAN/AM/1/raw"	2.39
2016	2	15	0	0	0	"/1566900619849/LTER_AT/LTER_EU_AT_003/ATZOEAM0939_TEMPMEAN/AM/1/raw"	1.32
2016	2	16	0	0	0	"/1566900619849/LTER_AT/LTER_EU_AT_003/ATZOEAM0939_TEMPMEAN/AM/1/raw"	-0.18
2016	2	17	0	0	0	"/1566900619849/LTER_AT/LTER_EU_AT_003/ATZOEAM0939_TEMPMEAN/AM/1/raw"	1.18
2016	2	18	0	0	0	"/1566900619849/LTER_AT/LTER_EU_AT_003/ATZOEAM0939_TEMPMEAN/AM/1/raw"	-0.93
2016	2	19	0	0	0	"/1566900619849/LTER_AT/LTER_EU_AT_003/ATZOEAM0939_TEMPMEAN/AM/1/raw"	0.07
2016	2	20	0	0	0	"/1566900619849/LTER_AT/LTER_EU_AT_003/ATZOEAM0939_TEMPMEAN/AM/1/raw"	0.84
2016	2	21	0	0	0	"/1566900619849/LTER_AT/LTER_EU_AT_003/ATZOEAM0939_TEMPMEAN/AM/1/raw"	8.69
2016	2	22	0	0	0	"/1566900619849/LTER_AT/LTER_EU_AT_003/ATZOEAM0939_TEMPMEAN/AM/1/raw"	12.06
2016	2	23	0	0	0	"/1566900619849/LTER_AT/LTER_EU_AT_003/ATZOEAM0939_TEMPMEAN/AM/1/raw"	5.92
2016	2	24	0	0	0	"/1566900619849/LTER_AT/LTER_EU_AT_003/ATZOEAM0939_TEMPMEAN/AM/1/raw"	-1.35
2016	2	25	0	0	0	"/1566900619849/LTER_AT/LTER_EU_AT_003/ATZOEAM0939_TEMPMEAN/AM/1/raw"	-1.82
2016	2	26	0	0	0	"/1566900619849/LTER_AT/LTER_EU_AT_003/ATZOEAM0939_TEMPMEAN/AM/1/raw"	-1.96
2016	2	27	0	0	0	"/1566900619849/LTER_AT/LTER_EU_AT_003/ATZOEAM0939_TEMPMEAN/AM/1/raw"	2.1
2016	2	28	0	0	0	"/1566900619849/LTER_AT/LTER_EU_AT_003/ATZOEAM0939_TEMPMEAN/AM/1/raw"	6.91
2016	2	29	0	0	0	"/1566900619849/LTER_AT/LTER_EU_AT_003/ATZOEAM0939_TEMPMEAN/AM/1/raw"	3.87
